Countries,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003
Mongolia,6.959234479699699,6.991581839819151,7.023961993157329,7.056403436656631,7.088866799003191,7.121303165954154,7.153599337366093,7.185578954403805,7.216946657149215,7.247327821119251,7.276300893375218,7.303354489167208,7.327902177162653,7.34934627315663,7.367148717382756,7.380848590754542,7.390094382472003,7.394679677590087,7.394675414079036,7.390434988400522,7.382650706197025,7.37236221665964,7.360846909838326,7.349345110519952,7.33879083419369,7.3297253478563436,7.322344506772608,7.3166534348434364,7.312486196202335,7.309581452113253,7.307644146544884,7.306397459911663,7.305579815057044,7.3049389336159285
Morocco,7.741832016313681,7.7702174504776815,7.798585028352737,7.826905585683962,7.855132191430658,7.883170660138537,7.910839784300784,7.937874325625034,7.964039059237415,7.98910242938521,8.012915088168313,8.035431880664563,8.05666660175831,8.076598377243112,8.095278425145851,8.112724361510342,8.128907391168816,8.143754966136138,8.15729537707086,8.169498331124599,8.180417357379328,8.190157957941059,8.198871159632358,8.206856562639967,8.214379061148424,8.221590158848272,8.22872879202335,8.235870272399207,8.243145474382793,8.25059706229744,8.258283167485612,8.266208398834346,8.274285387139603,8.282428561432296
Mozambique,6.993606788580617,6.9947617940017714,6.995706410801118,6.9961351284922255,6.995694173087219,6.9940232143061225,6.990839241199046,6.985977305770019,6.9794556356717115,6.9714014843329934,6.962019196573616,6.95160844837119,6.940644767862393,6.929831369865763,6.920001830744669,6.911958237433834,6.906345675385107,6.903345961509811,6.9027212081709814,6.9040337836503864,6.906899119682855,6.911175744310576,6.9169969460201255,6.924705604001967,6.934593524434524,6.947006190350165,6.962411995020103,6.98089850362275,7.0022393207814995,7.026075629355438,7.052041792460214,7.079593752095985,7.10804946003573,7.136862989782096
Namibia,8.519271930449568,8.521337481953413,8.523515519956895,8.525925270764091,8.528625162869748,8.531540708447535,8.53448614811593,8.537256732295004,8.539573628847085,8.541258110682474,8.5422064254158645,8.542356186910661,8.541568712478096,8.539818830731704,8.537236808759847,8.534011428220651,8.530341843387006,8.526315435792203,8.522003663014845,8.51772261916927,8.513885165192786,8.510882201813015,8.508831344893416,8.507831291971677,8.50799285070127,8.509387233869997,8.512055285588255,8.516006387282376,8.521196509074962,8.527505001737508,8.534702003843035,8.54248990099852,8.550658101093557,8.558985954791474
Nepal,6.748499915787273,6.75643256432399,6.764450405072683,6.772643826109938,6.781135797123441,6.789991344767649,6.799261153964436,6.809028209931623,6.819367485097637,6.830365896190652,6.8422018770219335,6.8551267242804315,6.86921343438895,6.884481791763929,6.900957585917233,6.918547373569446,6.937137227778812,6.956633679678083,6.9769579091786795,6.997969268667317,7.019532263050244,7.0415551199338315,7.063927879882739,7.086574455282411,7.109381521172682,7.132202456850292,7.15491353996959,7.177426272203332,7.199691595211404,7.221702508025399,7.243444181365691,7.264924518418251,7.2861906177178914,7.307370917118188
Netherlands,9.639875215107276,9.654673635790175,9.669417852001981,9.68402752713432,9.698382943599244,9.712380571187776,9.725970305828193,9.739097268984134,9.7517558564454,9.764015534652629,9.77604094375438,9.788080910610748,9.80045719521459,9.813470970726662,9.827324709089408,9.842123412420866,9.857896549869894,9.874615434514725,9.892222046886095,9.91061581424411,9.92966277594694,9.949249403667155,9.969315518206662,9.989846550633228,10.010841199439515,10.032255790184319,10.054005823870868,10.075972047988545,10.098009161345088,10.119970466934188,10.1417457663626,10.16329189238243,10.184653966469465,10.205930581942097
Netherlands.Antilles,9.40532001527564,9.4189705653846,9.432593698366597,9.446125167123002,9.459455482317711,9.472551710138367,9.48536247693668,9.497662545186344,9.509076594682204,9.519153285308814,9.527523007201866,9.533926050039215,9.538376125136605,9.541144160537161,9.54268141583062,9.543569608015911,9.544445532019063,9.54590204530749,9.548262075542866,9.551621628952162,9.555830369073755,9.560624812725104,9.565665831278574,9.570540757126492,9.574821426789377,9.57815455326593,9.580367418839067,9.581438845138395,9.581457750054799,9.580610151681212,9.579144719790131,9.57732347448133,9.575330176397177,9.573284363477981
New.Zealand,9.611126259410682,9.620095510142049,9.628966638244242,9.637568847626229,9.645708856733489,9.653286641250418,9.6603836290778,9.667165674121424,9.673875394342362,9.680715941753805,9.687821481286703,9.69524203703812,9.702941749865163,9.710849782163814,9.718840458284644,9.726811692443862,9.734762351008357,9.742754029284805,9.750933557304712,9.759516160110064,9.768787461293307,9.77904113041342,9.790526334072036,9.803376244588318,9.817559334077792,9.832960290433336,9.849434729626513,9.866831766997892,9.88500476161574,9.903817430633996,9.923102927149422,9.942715550981434,9.962512877083144,9.98237359676678
Nicaragua,8.812241563689417,8.80247729428439,8.79246202503458,8.781770862684606,8.769871100778847,8.756135778327478,8.739928016766676,8.720804896096453,8.698606802272575,8.673462766024482,8.645821685153095,8.61600372856791,8.58415160742664,8.550320431249277,8.514497314069374,8.476847697567859,8.437793599840145,8.397912867292774,8.358021969885353,8.318994183237582,8.28171197797141,8.246907562880313,8.21527639140663,8.187253009001576,8.163053475662785,8.142649125186677,8.125780736645549,8.112063676166292,8.10104632548186,8.092173113460657,8.084841405785454,8.078436354542644,8.072487513064235,8.066708382585311
Niger,6.9290343570590345,6.937443826743592,6.946051925117726,6.955156146240556,6.9650473647081315,6.975608368918313,6.986133931894455,6.995843815721825,7.00406414111247,7.010066398259199,7.013155092235987,7.012777582528568,7.008623945431375,7.000759156687708,6.989535105740183,6.975592689344427,6.959441249066566,6.941506641583866,6.922330913241473,6.902372974669117,6.882025034453431,6.86164671312635,6.841655614843769,6.822452200076184,6.804369426600906,6.787608514909891,6.7722477894615425,6.758234447515318,6.745314537890876,6.733153452932506,6.7215137676479175,6.710288473848023,6.699301495474782,6.688411536020107
Nigeria,7.0499484329436735,7.047565835838869,7.044904450318147,7.0415436953120425,7.03699444649116,7.030742147910074,7.022527671522513,7.0122170772842685,6.9999007412032945,6.986099718238415,6.971691272440793,6.957522633424181,6.944249035129797,6.93249883594961,6.922840190999904,6.915666485246222,6.911060465352722,6.908965286773425,6.909182955089706,6.911291111190095,6.9148096159609045,6.919281094108552,6.924376708132131,6.9299312676228455,6.935934632992947,6.942513992074126,6.949874554545354,6.957996388389005,6.966868230519924,6.976463690030645,6.986707301821946,6.997487692250018,7.008674420587747,7.020084329636365
Norway,9.51334114608754,9.548622627003073,9.5838448027656291,9.618919397979855,9.653716071533253,9.688075989322362,9.721822634431605,9.754790849581594,9.786876418502317,9.818046119358371,9.84829236575847,9.877652063344096,9.90623952332181,9.934186815230012,9.96158318718053,9.988458850119205,10.014849372214671,10.040846718467998,10.066634688652078,10.092450625537055,10.118510188014858,10.144967789769145,10.171895206942798,10.199288431163387,10.22706702602302,10.255062787496264,10.283073704674337,10.31089045947088,10.338350100148,10.365391426769841,10.392037062139496,10.418357684719297,10.444461509126757,10.470475379269475
Oman,9.025572255129731,9.048316835885803,9.071470375670366,9.095455707932702,9.120676542884304,9.147047701610587,9.174096621658283,9.201312775467493,9.228558736742176,9.255973037846932,9.283748318187165,9.312029169671879,9.340644051168784,9.369291996702062,9.397592796136152,9.425156917392947,9.451705052165329,9.477183421539944,9.50166720026019,9.525181540600476,9.547755836717396,9.56932847012092,9.589807248479248,9.60909641663903,9.627140867011414,9.643956113539522,9.659582600957291,9.674105219585552,9.68766258398887,9.700465935084713,9.712738950001583,9.724633268092312,9.73624954525581,9.74773957966221
Pakistan,7.07973109091146,7.107097500839798,7.134560754374025,7.16226224360328,7.1904179747517025,7.219249181192652,7.24890330975868,7.27947482369298,7.310954476103984,7.343276069767621,7.376236862637848,7.40956628309868,7.442982877842011,7.476178348036517,7.508837506052666,7.540635109245987,7.571266189090532,7.600436116274451,7.627889539904495,7.653462973979361,7.677104233764187,7.698825508911531,7.718683513207648,7.736790230527064,7.753289012701999,7.768328273590177,7.782091484743656,7.794825678025288,7.80676297591228,7.818111861696085,7.829058493811115,7.839789751394784,7.8504570057144365,7.8611218833434
Panama,8.223744013313558,8.258920044809322,8.294165918464389,8.329613190365171,8.365331601140273,8.401395127349526,8.437722485471838,8.474109586915441,8.510185105665677,8.545492150820486,8.579493460424152,8.611520764299534,8.641105011992405,8.668036353325567,8.692344409486271,8.714185388703518,8.733801478138291,8.751582248499968,8.768045761369414,8.7837927687657391,8.799235326354456,8.81460685097314,8.829951527651769,8.845344172260079,8.860898123264965,8.876754484177281,8.893021072270898,8.909722349903133,8.926757329208412,8.943972572005414,8.961262777017529,8.978575087618285,8.995901023367205,9.01323666711038
Papua.New.Guinea,7.771554022800276,7.816813619588608,7.861763119457347,7.905845356786921,7.948500892311779,7.989141461636161,8.026954421202976,8.060774541129263,8.090094684246726,8.114782240242182,8.135110584690693,8.151675991477017,8.165219716719044,8.176538893331607,8.186332527162644,8.195233417822749,8.203733290305106,8.212325078444907,8.221528499935518,8.231857142921426,8.24368143883868,8.257202569810168,8.272227362388048,8.288261004761138,8.304559756430786,8.32067157712238,8.336436669592405,8.351781028009704,8.366701072553358,8.381139490716398,8.395056086366766,8.408640421461056,8.422041874454795,8.435380131566166
Paraguay,7.992959881575185,8.034968288830157,8.076998558164748,8.119041698101352,8.161024452160357,8.202731645645812,8.243800457829435,8.283755969947856,8.321982547832414,8.35782414425315,8.390670479020994,8.420058750852437,8.445768135894474,8.467868522481192,8.486631184441192,8.502390545151227,8.515491885573274,8.526289255812719,8.535032380070582,8.541871638450322,8.54692744592607,8.550340497330785,8.552232106704027,8.552689155816477,8.551764010074182,8.549510213587801,8.545972791043171,8.541244511600716,8.535457153065794,8.528803309093435,8.52148857430051,8.513718052989327,8.505668757767118,8.497523748142758
